nov 12/21:41:40.764 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.766 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.767 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.770 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.771 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.774 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.776 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.777 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.779 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.781 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.784 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.786 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.787 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.790 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.792 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.794 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.795 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.797 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.799 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.801 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.803 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.805 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.807 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.809 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.811 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.813 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.815 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.817 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.819 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.821 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.823 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.825 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.827 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.829 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.831 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.833 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.835 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.837 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.839 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.841 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.843 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.845 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.847 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.849 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.851 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.853 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.855 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.857 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.859 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.861 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.863 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.865 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.867 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.869 DEBUG2 : 		STLinkIsCpuHalted
